Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-29T06:58:39.111463,p01,Proposed,1,FingerPoint,3,0.900,1.400
2025-12-29T06:58:51.931099,p01,Proposed,2,Fist,1,8.909,9.409
2025-12-29T06:58:56.417863,p01,Proposed,3,Neutral,0,0.108,0.608
2025-12-29T07:00:04.023177,p01,Proposed,4,Victory,4,61.708,62.208
2025-12-29T07:00:09.376733,p01,Proposed,5,Neutral,0,1.344,1.844
2025-12-29T07:00:14.407661,p01,Proposed,6,Gun,6,0.876,1.376
2025-12-29T07:00:19.731788,p01,Proposed,7,Neutral,0,1.347,1.847
2025-12-29T07:00:25.035752,p01,Proposed,8,FingerPoint,3,1.111,1.611
2025-12-29T07:00:31.324682,p01,Proposed,9,Fist,1,2.403,2.903
2025-12-29T07:00:36.727255,p01,Proposed,10,FingerPoint,3,1.000,1.500
